district,counties,numColleges,numRacesOnBallot,numRacesCanceled,linkBoard
Allan Hancock Joint Community College District,San Luis Obispo; Santa Barbara; Ventura,1,0,3,https://www.hancockcollege.edu/board/index.php
Antelope Valley Community College District,Kern; Los Angeles,1,1,1,https://www.avc.edu/board-trustees
Barstow Community College District,San Bernardino,1,1,2,https://www.barstow.edu/sites/default/files/media/pdf_document/2024/PublicNotice_BarstowCCD_2024-07-17.pdf
Butte-Glenn Community College District,Butte; Glenn,1,0,4,https://www.butte.edu/community/getting_involved/contacts/trustees/current-board.php
Cabrillo Community College District,Monterey; San Benito; Santa Cruz,1,0,4,https://www.cabrillo.edu/governing-board/
Cerritos Community College District,Los Angeles,1,1,3,https://www.cerritos.edu/board/member-directory.htm
Chabot-Las Positas Community College District,Alameda; Contra Costa,2,2,2,https://www.clpccd.org/bot/boardmembers.php
Chaffey Community College District,San Bernardino,1,0,0,https://www.chaffey.edu/leadership/governingboard.php
Citrus Community College District,Los Angeles,1,1,2,https://www.citruscollege.edu/admin/bot/Pages/BOTMembers.aspx
Coast Community College District,Orange,3,1,2,https://www.cccd.edu/boardoftrustees/meetourtrustees.html
Compton Community College District,Los Angeles,1,1,1,https://www.compton.edu/district/board-of-trustees/index.aspx
Contra Costa Community College District,Contra Costa,3,2,0,https://www.4cd.edu/gb/index.html
Copper Mountain Community College District,San Bernardino,1,1,3,https://www.cmccd.edu/campus/operations/office-of-the-president/trustees/
Desert Community College District,Riverside; San Bernardino,1,3,0,https://www.collegeofthedesert.edu/community/board-of-trustees/default.php
El Camino Community College District,Los Angeles,1,1,2,https://www.elcamino.edu/leadership/trustees/index.php
Feather River Community College District,Plumas,1,0,3,https://www.frc.edu/administration/board-of-trustees
Foothill-DeAnza Community College District,Santa Clara,2,2,1,https://www.fhda.edu/_about-us/_board/board-member-profiles.html
Gavilan Community College District,San Benito; Santa Clara,1,1,2,https://www.gavilan.edu/administration/board/members.php
Glendale Community College District,Los Angeles,1,0,0,https://www.glendale.edu/about-gcc/board-of-trustees
